id,preco
0,2014496.558734974
1,275241.45607302885
2,531734.0159187893
3,223759.25383697997
4,264943.6178302124
5,202034.53985277656
6,655190.2641516397
7,341624.153271181
8,327759.32186539425
9,786680.1072538537
10,548280.9069441507
11,405202.03996774973
12,927219.3171600839
13,371077.0525356098
14,789257.2664241676
15,503465.0510683507
16,408434.16610749514
17,427830.6954309933
18,344538.5937335879
19,867670.2133570387
20,901260.050407133
21,298858.430051215
22,312240.3776630849
23,391134.20233754575
24,348349.9123320197
25,359425.7962383186
26,392991.930554122
27,528107.2286306163
28,896119.76926554
29,899932.8829141925
30,349054.8463470159
31,1293531.3811110787
32,1563446.3571952982
33,1535727.4214864648
34,1195210.3142513998
35,435713.47448001406
36,480926.7647305537
37,3081713.0636250027
38,431012.28446155967
39,358849.8052235239
40,2673917.4849920454
41,677684.0307843001
42,340066.43754080386
43,1278340.0211759703
44,949417.818136345
45,259923.21773432102
46,1314825.3115361705
47,586540.9809119616
48,296160.9105342822
49,412557.6879930639
50,524810.2588095422
51,338658.3307422461
52,783959.9652364665
53,786247.7325371896
54,962072.9079779332
55,279424.09154972725
56,601105.4064461618
57,388853.75890971074
58,857506.6211282568
59,1128536.212719003
60,2813357.8924148106
61,642671.736130216
62,1490460.055364507
63,3657698.8245385825
64,399634.4695056059
65,415013.3184855155
66,499465.5922544853
67,1240951.4776351366
68,867407.5277370301
69,358811.18978314457
70,1887338.9126715062
71,270454.7043047833
72,514400.44883090386
73,496533.0797140318
74,213899.26391812498
75,2733484.153751854
76,299532.60346118675
77,470279.38845040987
78,194157.57614920163
79,264916.9133853316
80,513917.2587824647
81,365757.7082357626
82,289149.3915327367
83,1522921.8981225637
84,3030864.567581067
85,414811.68937414925
86,487549.6344589476
87,527889.843130659
88,392991.930554122
89,422952.613577157
90,435817.0657999399
91,725541.9552824657
92,259476.91051194296
93,311180.0732409676
94,193781.66673906447
95,739821.4235569129
96,798975.3076421624
97,1967591.8657840465
98,421613.7695823299
99,629117.5932050156
100,468761.1419979816
101,497625.32046848536
102,1226493.5178525897
103,970753.972093303
104,446662.3795127904
105,869663.0893527286
106,873859.8094507993
107,1010579.0618473068
108,354120.5167389117
109,574388.7744375765
110,456448.65524313884
111,857832.9381692305
112,301992.6048868129
113,408713.70616559545
114,679312.5924654148
115,375362.27443200006
116,583918.3686790827
117,3618457.108502991
118,837566.15468015
119,284465.74817683897
120,1982257.4132032776
121,302228.3035213613
122,444610.1174723758
123,347795.45855721727
124,304512.75161740166
125,644800.4837900004
126,336620.963017948
127,1358931.271049366
128,338250.7218058296
129,1390782.3292251828
130,894707.4832393395
131,3069593.2667976962
132,687926.9279004773
133,1841374.6846550934
134,1193514.2307424198
135,588890.0646228464
136,552359.9980481478
137,923882.7749955864
138,854293.056792842
139,447657.7626602206
140,2797205.67415649
141,427830.17004062945
142,424406.4257304355
143,1566838.883447553
144,350145.4439274889
145,498088.3324544819
146,264448.59067526803
147,1699320.3830440498
148,558985.3933514087
149,1078753.6192921977
150,435190.65475440485
151,637256.4440628216
152,1096893.6996891156
153,762740.4118300475
154,390625.14276880986
155,550304.9951873141
156,485569.5569194168
157,347127.6431278966
158,599880.4510582591
159,1423420.891989368
160,1339995.7898086489
161,476970.6940129807
162,1185284.5309085127
163,545294.4219182476
164,335506.0899067145
165,334156.9919494696
166,518513.0663887055
167,568322.670424794
168,450792.94856688334
169,962855.6056194011
170,563023.8485031495
171,436643.20297314296
172,606556.1302512437
173,663721.0252277472
174,571160.9749265382
175,1805148.253246628
176,656785.506603888
177,396155.17800851015
178,1169996.5118622202
179,285769.19598317705
180,974127.3824521
181,391401.3455493182
182,2898572.0262550386
183,610143.8364498103
184,681647.0750567595
185,421384.6055724658
186,481389.15467587323
187,432303.7567844694
188,1437577.4788629734
189,341847.3579493
190,2310049.1369532533
191,1377812.6344808298
192,326335.18659389124
193,305223.73891536775
194,263841.90219150996
195,642945.6990082235
196,278281.36354912096
197,1259759.8979406517
198,332429.2975896375
199,496909.1981730462
200,1053272.6775531268
201,306652.03297881683
202,544033.9151189327
203,1093672.7204491852
204,636480.0766458417
205,296526.5663469918
206,199620.33514198728
207,393103.9485990449
208,1020362.131888083
209,1952472.0420323424
210,601311.1677357199
211,3076994.41332752
212,475503.7623337321
213,587808.4833619728
214,1538252.3951488966
215,369598.9713494125
216,287362.7197271648
217,618039.4056990228
218,611595.7067545494
219,317412.03241903987
220,594256.4778455358
221,1146430.9575628126
222,2344977.3099107877
223,337404.52286088595
224,358603.5672586668
225,503058.38642472005
226,351808.5739907225
227,598761.0638218567
228,2507499.671116334
229,688243.8300901119
230,427683.5509198995
231,477665.2367974287
232,341397.51244697586
